Element Short Name,Type,Vocabulary,Code
WMOCurrentMeasurementMethod2,Exact,BUFR v4,B03010
WMODataBuoyType,Exact,WMO Codes,FM18-XII: Bt Bt
WMODataBuoyType,Exact,BUFR v4,B02149
WMODataBuoyType,Exact,MEDS PCODE,BTP%24
WMODataSystem,Exact,BUFR v4,B02148
WMODepthMethod,Exact,BUFR v4,B03011
WMODigitization,Exact,WMO Codes,FM63-XI: k1
WMODigitization,Exact,WMO Codes,FM64-X: k1
WMODigitization,Exact,BUFR v4,B02032
WMODigitization,Exact,MEDS PCODE,GGDI
WMODissolvedOxygenSensorType,Exact,BUFR v4,B03012
WMODrogueStatus,Exact,BUFR v4,B22060
WMODrogueType,Exact,WMO Codes,FM18-XII: Xt Xt
WMODrogueType,Exact,BUFR v4,B02034
WMODrogueType,Exact,MEDS PCODE,DRT%24
WMOID,Exact,WMO Codes,FM18-XII: A1 bw nb nb nb
WMOID,Exact,WMO Codes,FM63-XI: A1 bw nb nb nb
WMOID,Exact,WMO Codes,FM64-X: A1 bw nb nb nb
WMOID,Exact,BUFR v4,B01087
WMOID,Exact,MEDS PCODE,WMO%24
WMOID,Narrower,BUFR v4,B01001
WMOID,Narrower,BUFR v4,B01002
WMOID,Narrower,BUFR v4,B01003
WMOID,Narrower,BUFR v4,B01004
WMOID,Narrower,BUFR v4,B01005
WMOID,Narrower,BUFR v4,B01020
WMOPlatformMotionRemovalMethod,Exact,WMO Codes,FM64-X: k6
WMOPlatformMotionRemovalMethod,Exact,BUFR v4,B02040
WMOPlatformMotionRemovalMethod,Exact,MEDS PCODE,GGK6
WMOPlatformType,Exact,BUFR v4,B02045
WMOProfileInstrumentType,Exact,WMO Codes,FM63-XI: IX IX IX
WMOProfileInstrumentType,Exact,WMO Codes,FM64-X: IX IX IX
WMOProfileInstrumentType,Exact,MEDS PCODE,PEQ%24
WMOProfileInstrumentType,Exact,MEDS PCODE,RCT%24
WMOProfileInstrumentType,Exact,BUFR v4,B22067
WMOProfileInstrumentType,Broader,MEDS PCODE,PFR%24
WMOProfileRecorderType,Exact,WMO Codes,FM63-XI: XR XR
WMOProfileRecorderType,Exact,WMO Codes,FM64-X: XR XR
WMOProfileRecorderType,Exact,BUFR v4,B22068
WMOProfileRecorderType,Exact,MEDS PCODE,PRT%24
WMOProfileRecorderType,Exact,MEDS PCODE,SYS%24
WMOProfileRecorderType,Broader,MEDS PCODE,PFR%24
WMOQualityLocation,Exact,WMO Codes,FM18-XII: QL
WMOQualityLocation,Exact,WMO Codes,FM18-XII: QA
WMOQualityLocation,Exact,BUFR v4,B33023
WMOQualityLocation,Exact,MEDS PCODE,GGLC
WMOQualityLocation,Broader,MEDS PCODE,GGST
WMOQualityLocationClass,Exact,WMO Codes,FM18-XII: QA
WMOQualityLocationClass,Exact,BUFR v4,B33027
WMOQualityLocationClass,Exact,MEDS PCODE,BQA%24
WMOQualityLocationClass,Broader,MEDS PCODE,GGST
WMOQualitySatellite,Exact,WMO Codes,FM18-XII: QN
WMOQualitySatellite,Exact,BUFR v4,B33022
